Time,Date,Light Intensity,Temperature,Humid,T_Delta,H_Delta,L_Delta
2024-04-28 03:30:08,03:30:08,1001.666667,18,52,0.0,0.0,-234.5833336999999
2024-04-26 03:30:09,03:30:09,871.25,16,45,0.0,0.0,-381.25
2024-04-22 03:30:10,03:30:10,728.75,18,58,0.0,-1.0,17.91666669999995
2024-04-21 03:30:11,03:30:11,859.5833333,18,57,0.0,0.0,-223.33333330000005
2024-04-25 03:30:11,03:30:11,619.1666667,16,47,0.0,-2.0,-116.24999999999994
2024-04-23 03:30:12,03:30:12,756.25,19,57,0.0,0.0,-149.58333330000005
2024-04-24 03:30:12,03:30:12,1046.25,19,50,-1.0,0.0,-260.0
2024-04-27 03:30:18,03:30:18,754.5833333,17,53,1.0,-1.0,210.8333333999999
2024-04-20 03:30:25,03:30:25,1607.5,15,63,0.0,0.0,-515.833333
2024-04-28 03:40:08,03:40:08,767.0833333,18,52,1.0,0.0,-84.1666666000001
2024-04-26 03:40:08,03:40:08,490.0,16,45,1.0,-1.0,12.5
2024-04-21 03:40:11,03:40:11,636.25,18,57,0.0,0.0,-99.58333330000005
2024-04-22 03:40:12,03:40:12,746.6666667,18,57,0.0,-1.0,-222.91666669999995
2024-04-23 03:40:12,03:40:12,606.6666667,19,57,0.0,-1.0,-32.91666669999995
2024-04-24 03:40:14,03:40:14,786.25,18,50,0.0,0.0,379.58333300000004
2024-04-25 03:40:14,03:40:14,502.9166667,16,45,0.0,-1.0,-19.583333400000015
2024-04-27 03:40:18,03:40:18,965.4166667,18,52,0.0,-2.0,-95.8333333999999
2024-04-20 03:40:25,03:40:25,1091.666667,15,63,0.0,0.0,-486.66666699999996
2024-04-28 03:50:08,03:50:08,682.9166667,19,52,0.0,-1.0,367.9166663000001
2024-04-26 03:50:10,03:50:10,502.5,17,44,0.0,0.0,167.5
2024-04-21 03:50:10,03:50:10,536.6666667,18,57,0.0,-1.0,2.9166666000000987
2024-04-22 03:50:12,03:50:12,523.75,18,56,0.0,0.0,-25.416666700000007
2024-04-23 03:50:12,03:50:12,573.75,19,56,1.0,-1.0,15.83333330000005
2024-04-25 03:50:13,03:50:13,483.3333333,16,44,0.0,-1.0,2061.6666667
2024-04-24 03:50:14,03:50:14,1165.833333,18,50,0.0,0.0,-452.4999997
2024-04-27 03:50:20,03:50:20,869.5833333,18,50,0.0,0.0,598.7499997
2024-04-20 03:50:26,03:50:26,605.0,15,63,1.0,0.0,432.08333300000004
2024-04-28 04:00:08,04:00:08,1050.833333,19,51,0.0,-2.0,-369.58333300000004
2024-04-21 04:00:10,04:00:10,539.5833333,18,56,1.0,-1.0,4037.0833337000004
2024-04-23 04:00:12,04:00:12,589.5833333,20,55,0.0,-1.0,27.0833333999999
2024-04-22 04:00:12,04:00:12,498.3333333,18,56,1.0,-1.0,62.50000000000006
2024-04-26 04:00:13,04:00:13,670.0,17,44,0.0,-1.0,-16.25
2024-04-25 04:00:13,04:00:13,2545.0,16,43,0.0,0.0,-2003.75
2024-04-24 04:00:14,04:00:14,713.3333333,18,50,0.0,-1.0,-211.25000000000006
2024-04-27 04:00:20,04:00:20,1468.333333,18,50,0.0,-1.0,-493.7499997
2024-04-20 04:00:27,04:00:27,1037.083333,16,63,0.0,-1.0,-69.16666630000009
2024-04-28 04:10:07,04:10:07,681.25,19,49,0.0,-4.0,-80.0
2024-04-21 04:10:10,04:10:10,4576.666667,19,55,0.0,-1.0,-4077.5000003000005
2024-04-22 04:10:12,04:10:12,560.8333333,19,55,0.0,0.0,-75.83333330000005
2024-04-23 04:10:12,04:10:12,616.6666667,20,54,0.0,-1.0,112.5
2024-04-26 04:10:12,04:10:12,653.75,17,43,0.0,0.0,43.75
2024-04-25 04:10:13,04:10:13,541.25,16,43,0.0,0.0,-22.08333330000005
2024-04-24 04:10:16,04:10:16,502.0833333,18,49,0.0,0.0,361.6666667
2024-04-27 04:10:20,04:10:20,974.5833333,18,49,0.0,-1.0,-101.25
2024-04-20 04:10:28,04:10:28,967.9166667,16,62,0.0,0.0,3.75
2024-04-21 04:20:10,04:20:10,499.1666667,19,54,0.0,-1.0,434.5833333
2024-04-28 04:20:10,04:20:10,601.25,19,45,1.0,-2.0,-6.666666699999951
2024-04-22 04:20:12,04:20:12,485.0,19,55,0.0,-1.0,418.75
2024-04-26 04:20:12,04:20:12,697.5,17,43,0.0,0.0,-144.58333330000005
2024-04-23 04:20:14,04:20:14,729.1666667,20,53,0.0,-1.0,-173.3333333999999
2024-04-25 04:20:15,04:20:15,519.1666667,16,43,0.0,-3.0,-1.6666666999999507
2024-04-24 04:20:16,04:20:16,863.75,18,49,0.0,-1.0,172.08333300000004
2024-04-27 04:20:22,04:20:22,873.3333333,18,48,0.0,0.0,-52.5
2024-04-20 04:20:29,04:20:29,971.6666667,16,62,1.0,-2.0,5.0
