Time,Date,Light Intensity,Temperature,Humid,T_Delta,H_Delta,L_Delta
2024-04-28 05:30:12,05:30:12,760.0,20,42,0.0,0.0,-26.66666669999995
2024-04-26 05:30:13,05:30:13,360.0,17,41,0.0,0.0,-38.75
2024-04-23 05:30:15,05:30:15,366.6666667,21,49,0.0,-1.0,-25.416666700000007
2024-04-22 05:30:15,05:30:15,340.0,20,51,0.0,0.0,-12.083333299999993
2024-04-21 05:30:16,05:30:16,350.4166667,19,47,0.0,1.0,-20.416666700000007
2024-04-25 05:30:16,05:30:16,327.9166667,16,37,0.0,0.0,-12.5
2024-04-20 05:30:42,05:30:42,495.4166667,16,60,0.0,1.0,89.58333329999999
2024-04-28 05:40:12,05:40:12,733.3333333,20,42,0.0,0.0,-181.6666666000001
2024-04-26 05:40:13,05:40:13,321.25,17,41,0.0,-1.0,-9.583333299999993
2024-04-23 05:40:15,05:40:15,341.25,21,48,0.0,0.0,-13.75
2024-04-22 05:40:15,05:40:15,327.9166667,20,51,0.0,0.0,-13.333333400000015
2024-04-25 05:40:16,05:40:16,315.4166667,16,37,0.0,0.0,-16.666666700000007
2024-04-21 05:40:16,05:40:16,330.0,19,48,0.0,1.0,-3.75
2024-04-27 05:40:27,05:40:27,608.75,19,45,0.0,0.0,-89.58333330000005
2024-04-20 05:40:42,05:40:42,585.0,16,61,0.0,0.0,-420.8333333
2024-04-28 05:50:12,05:50:12,551.6666667,20,42,0.0,0.0,-140.83333339999996
2024-04-26 05:50:13,05:50:13,311.6666667,17,40,0.0,0.0,-5.833333400000015
2024-04-23 05:50:15,05:50:15,327.5,21,48,-1.0,0.0,0.8333332999999925
2024-04-21 05:50:16,05:50:16,326.25,19,49,0.0,0.0,20.833333299999993
2024-04-25 05:50:16,05:50:16,298.75,16,37,0.0,0.0,-4.1666667000000075
2024-04-22 05:50:17,05:50:17,314.5833333,20,51,-1.0,0.0,-16.25
2024-04-27 05:50:27,05:50:27,519.1666667,19,45,-1.0,2.0,25.0
2024-04-20 05:50:43,05:50:43,164.1666667,16,61,0.0,1.0,211.25
2024-04-28 06:00:12,06:00:12,410.8333333,20,42,-1.0,1.0,-39.166666599999985
2024-04-26 06:00:13,06:00:13,305.8333333,17,40,0.0,0.0,-32.5
2024-04-21 06:00:15,06:00:15,347.0833333,19,49,0.0,1.0,98.75
2024-04-23 06:00:17,06:00:17,328.3333333,20,48,0.0,1.0,174.1666667
2024-04-22 06:00:17,06:00:17,298.3333333,19,51,0.0,1.0,117.91666670000001
2024-04-25 06:00:18,06:00:18,294.5833333,16,37,0.0,0.0,-39.166666599999985
2024-04-20 06:00:46,06:00:46,375.4166667,16,62,0.0,0.0,-232.5
2024-04-28 06:10:11,06:10:11,371.6666667,19,43,0.0,0.0,74.16666659999999
2024-04-26 06:10:13,06:10:13,273.3333333,17,40,0.0,0.0,144.58333340000001
2024-04-23 06:10:17,06:10:17,502.5,20,49,0.0,0.0,-117.08333329999999
2024-04-22 06:10:17,06:10:17,416.25,19,52,0.0,0.0,-28.75
2024-04-25 06:10:18,06:10:18,255.4166667,16,37,0.0,0.0,105.83333329999999
2024-04-21 06:10:18,06:10:18,445.8333333,19,50,0.0,1.0,106.25000000000006
2024-04-20 06:10:47,06:10:47,142.9166667,16,62,0.0,0.0,-77.50000003000001
2024-04-28 06:20:11,06:20:11,445.8333333,19,43,0.0,1.0,-54.58333329999999
2024-04-26 06:20:15,06:20:15,417.9166667,17,40,0.0,1.0,-91.25
2024-04-24 06:20:17,06:20:17,345.4166667,18,47,0.0,0.0,17.916666599999985
2024-04-25 06:20:18,06:20:18,361.25,16,37,0.0,0.0,52.91666670000001
2024-04-23 06:20:19,06:20:19,385.4166667,20,49,0.0,0.0,15.416666599999985
2024-04-22 06:20:19,06:20:19,387.5,19,52,0.0,0.0,78.75
2024-04-21 06:20:20,06:20:20,552.0833333,19,51,0.0,0.0,-112.91666660000004
2024-04-27 06:20:29,06:20:29,544.1666667,18,47,0.0,0.0,-103.33333339999996
2024-04-20 06:20:48,06:20:48,65.41666667,16,62,-1.0,1.0,1.6666666600000042
